"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2021","480.92","480.91","480.92","480.88","","-0.04%"
"09/17/2021","481.09","484.55","485.51","480.55","","-0.71%"
"09/16/2021","484.54","485.89","486.01","482.59","","-0.25%"
"09/15/2021","485.76","484.49","486.20","483.23","","0.22%"
"09/14/2021","484.69","486.22","487.92","484.05","","-0.31%"
"09/13/2021","486.21","485.63","487.88","484.55","","0.12%"
"09/12/2021","485.62","485.63","485.65","485.61","","-0.06%"
"09/10/2021","485.89","487.36","490.44","485.56","","-0.29%"
"09/09/2021","487.28","489.47","489.81","487.28","","-0.42%"
"09/08/2021","489.34","491.40","491.73","487.99","","-0.44%"
"09/07/2021","491.49","493.04","493.58","491.06","","-0.29%"
"09/06/2021","492.91","491.70","493.03","491.67","","0.25%"
"09/05/2021","491.67","491.70","491.71","491.67","","-0.01%"
"09/03/2021","491.71","491.24","492.23","490.53","","0.11%"
"09/02/2021","491.16","489.73","491.58","489.45","","0.27%"
"09/01/2021","489.85","488.29","490.73","488.04","","0.33%"
"08/31/2021","488.25","487.92","489.62","487.37","","0.06%"
"08/30/2021","487.97","485.93","488.53","485.92","","0.42%"
"08/29/2021","485.92","485.93","485.94","485.92","","0.06%"
"08/27/2021","485.63","482.16","486.15","481.69","","0.72%"
"08/26/2021","482.18","485.02","485.13","482.05","","-0.52%"
"08/25/2021","484.71","483.90","485.27","483.65","","0.16%"
"08/24/2021","483.92","481.34","484.30","481.32","","0.57%"
"08/23/2021","481.16","476.27","481.91","476.26","","1.03%"
"08/22/2021","476.26","476.27","476.28","476.26","","0.05%"
"08/20/2021","476.04","474.27","476.43","472.87","","0.35%"
"08/19/2021","474.40","477.67","477.68","472.47","","-0.70%"
"08/18/2021","477.74","480.29","481.12","477.67","","-0.55%"
"08/17/2021","480.37","484.02","484.16","478.27","","-0.77%"
"08/16/2021","484.10","485.09","485.11","481.18","","-0.20%"
"08/15/2021","485.08","485.09","485.11","485.08","","0.03%"
"08/13/2021","484.94","484.12","485.20","483.56","","0.17%"
"08/12/2021","484.10","483.71","484.10","482.43","","0.10%"
"08/11/2021","483.60","482.22","483.96","482.10","","0.29%"
"08/10/2021","482.22","481.57","482.96","481.45","","0.13%"
"08/09/2021","481.59","481.60","482.11","481.11","","-0.01%"
"08/08/2021","481.62","481.60","481.64","481.59","","-0.02%"
"08/06/2021","481.72","482.42","482.61","481.22","","-0.18%"
"08/05/2021","482.57","480.53","482.57","480.21","","0.43%"
"08/04/2021","480.51","481.28","482.20","480.22","","-0.11%"
"08/03/2021","481.05","478.84","481.22","477.64","","0.43%"
"08/02/2021","479.00","477.07","480.93","477.05","","0.40%"
"08/01/2021","477.08","477.07","477.09","477.05","","0.00%"
"07/30/2021","477.07","480.82","480.84","476.61","","-0.75%"
"07/29/2021","480.68","477.33","481.49","477.30","","0.83%"
"07/28/2021","476.70","475.95","478.03","475.00","","0.13%"
