"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2020","2147.88","2147.81","2149.63","2126.32","","-0.02%"
"05/28/2020","2148.33","2140.17","2167.71","2139.70","","0.53%"
"05/27/2020","2136.90","2114.36","2138.66","2102.49","","1.07%"
"05/26/2020","2114.27","2083.10","2127.61","2083.04","","1.56%"
"05/25/2020","2081.83","2073.92","2082.05","2073.37","","0.48%"
"05/22/2020","2071.90","2074.80","2075.39","2059.83","","-0.11%"
"05/21/2020","2074.10","2091.48","2093.14","2068.48","","-0.86%"
"05/20/2020","2092.03","2060.37","2096.69","2058.77","","1.49%"
"05/19/2020","2061.37","2071.66","2081.85","2060.39","","-0.37%"
"05/18/2020","2069.00","2009.06","2077.02","2008.37","","3.02%"
"05/15/2020","2008.41","2001.32","2008.77","1986.80","","0.43%"
"05/14/2020","1999.89","1997.23","2000.16","1952.89","","0.07%"
"05/13/2020","1998.48","2030.87","2032.60","1984.49","","-1.75%"
"05/12/2020","2034.06","2059.96","2070.81","2032.05","","-1.29%"
"05/11/2020","2060.70","2060.82","2066.39","2045.32","","-0.06%"
"05/08/2020","2061.89","2030.43","2061.89","2030.43","","1.77%"
"05/07/2020","2026.12","2005.93","2038.13","2005.04","","0.92%"
"05/06/2020","2007.60","2018.21","2030.00","2006.85","","-0.52%"
"05/05/2020","2018.11","1998.17","2032.59","1998.17","","1.02%"
"05/04/2020","1997.75","2002.13","2002.13","1976.01","","-0.35%"
"05/01/2020","2004.79","2049.78","2050.13","1999.44","","-2.34%"
"04/30/2020","2052.85","2072.60","2077.74","2043.10","","-0.86%"
"04/29/2020","2070.76","2023.90","2078.66","2023.90","","2.34%"
"04/28/2020","2023.35","2021.91","2053.65","2020.14","","0.04%"
"04/27/2020","2022.49","1988.73","2026.66","1988.41","","1.75%"
"04/24/2020","1987.65","1971.62","1990.67","1964.37","","0.67%"
"04/23/2020","1974.38","1968.46","1999.55","1967.52","","0.31%"
"04/22/2020","1968.27","1930.97","1974.42","1928.21","","1.86%"
"04/21/2020","1932.25","1991.45","1991.57","1927.14","","-3.10%"
"04/20/2020","1994.03","2015.56","2016.23","1989.25","","-1.16%"
"04/17/2020","2017.51","1966.08","2018.69","1966.08","","2.71%"
"04/16/2020","1964.33","1957.89","1969.81","1947.01","","0.21%"
"04/15/2020","1960.20","2007.24","2008.26","1949.68","","-2.32%"
"04/14/2020","2006.81","1958.46","2009.73","1957.92","","2.56%"
"04/13/2020","1956.75","1970.82","1971.84","1936.96","","-0.77%"
"04/10/2020","1971.95","1969.51","1972.79","1968.00","","0.06%"
"04/09/2020","1970.67","1939.83","1985.11","1938.34","","1.58%"
"04/08/2020","1940.08","1896.30","1944.56","1889.37","","2.38%"
"04/07/2020","1895.04","1883.20","1945.55","1882.98","","0.72%"
"04/06/2020","1881.48","1775.95","1887.42","1775.61","","5.89%"
"04/03/2020","1776.86","1802.87","1804.73","1763.77","","-1.45%"
"04/02/2020","1803.07","1781.33","1810.91","1765.26","","1.22%"
"04/01/2020","1781.27","1855.09","1856.84","1771.13","","-3.86%"
"03/31/2020","1852.73","1871.00","1881.14","1847.48","","-0.95%"
"03/30/2020","1870.48","1829.35","1873.55","1818.03","","2.37%"
"03/27/2020","1827.17","1876.21","1884.92","1811.35","","-2.58%"
"03/26/2020","1875.56","1788.40","1879.92","1779.88","","5.02%"
"03/25/2020","1785.99","1745.35","1834.67","1739.01","","2.49%"
"03/24/2020","1742.61","1605.52","1742.61","1605.43","","8.77%"
"03/23/2020","1602.11","1647.45","1652.22","1579.14","","-2.96%"
"03/20/2020","1650.94","1690.04","1729.69","1644.91","","-2.57%"
"03/19/2020","1694.45","1684.07","1717.87","1636.94","","0.73%"
"03/18/2020","1682.25","1774.56","1778.49","1626.51","","-5.11%"
"03/17/2020","1772.93","1702.25","1788.52","1683.91","","4.12%"
"03/16/2020","1702.79","1885.08","1885.45","1699.79","","-9.51%"
"03/13/2020","1881.64","1778.10","1882.28","1760.17","","5.92%"
"03/12/2020","1776.52","1970.61","1970.61","1776.52","","-9.91%"
"03/11/2020","1972.04","2049.04","2054.74","1956.02","","-3.89%"
"03/10/2020","2051.96","1994.60","2051.96","1982.51","","2.84%"
"03/09/2020","1995.22","2152.33","2152.46","1992.29","","-7.17%"
"03/06/2020","2149.29","2194.79","2194.79","2116.32","","-1.96%"
"03/05/2020","2192.35","2243.17","2248.62","2182.53","","-2.26%"
"03/04/2020","2243.09","2179.29","2243.22","2175.99","","2.92%"
"03/03/2020","2179.48","2212.99","2249.35","2167.64","","-1.49%"
"03/02/2020","2212.38","2144.07","2212.53","2139.85","","3.33%"
"02/28/2020","2141.12","2175.92","2176.00","2087.86","","-1.66%"
"02/27/2020","2177.25","2258.95","2259.07","2177.16","","-3.60%"
"02/26/2020","2258.62","2269.19","2291.63","2254.23","","-0.48%"
"02/25/2020","2269.42","2328.51","2330.67","2265.53","","-2.63%"
"02/24/2020","2330.75","2401.75","2401.99","2326.23","","-3.00%"
"02/21/2020","2402.80","2419.40","2420.58","2398.97","","-0.72%"
"02/20/2020","2420.21","2431.02","2433.95","2405.54","","-0.45%"
"02/19/2020","2431.22","2420.85","2433.60","2420.18","","0.40%"
"02/18/2020","2421.47","2431.13","2431.19","2413.78","","-0.38%"
